Event,Description,Event Start Year,Default Value ,Appointments,Domestic,Elections,Foreign Policy,Economic,Justice,Military,Misc
The First US President,Historically the first person to hold this office,1789,1,,,X,,,,,
Unanimously elected in 1788,Unanimously elected in 1788,1788,10,,,X,,,,,
Unanimous elected in 1792,Unanimous elected in 1792,1792,10,,,X,,,,,
Cabinet infighting between Jefferson and Hamilton,"Washington appointed two men who would lead opposing political parties. Naturally, discord was common while they both served together.",1790,5,X,,,,,,,
Neutrality in French Revolution,"Washington does not uphold the French Alliance, partially because intervention could lead to another war with Great Britain. Jefferson resigns as Sec of State over disagreement with the proclamation. During the time, some believed Washington lacked Constitutional authority to declare neutrality, considering Congress had the power to declare war. This helped establish the policy of no intangling alliances. ",1793,25,,,,X,,,,
Jay Treaty,"Backs Hamilton-designed Jay Treaty, which polarizes the nation, cementing firm division between Hamilton and Jefferson supporters. War with Great Britain is averted, relations with France are horribly damaged. British vacate the Northwest Territory and grant limited trade rights to the US in the West Indies. Britain paid money for damages to US shipping. US granted Most Favored Trading Nation to Britain and adhered to Britain's anti-French maritime policies. ",1794,50,,,,X,X,,,
First Peaceful Transition of Power,Creates no issues for the incoming president; accepts relinquishing power.,1797,25,,,x,,,,,
Sets two-term precedence by declining 3rd term,Sets two-term precedence by declining 3rd term,1796,25,,,x,,,,,
Famous Farewell Address,"Delivers the famous farwell address, written by Hamilton, loosely from a first draft written by Madison 4 years previously. ",1796,1,,,,,,,,X
Enslaved humans while serving as president,"Washington and his wife enslaved over 300 humans. During his life time, over 500 were enslaved.",1789,1,,,,,,X,,
John Adams as VP,"He presided with Adams as his VP, although he personally had no choice in the matter",1789,1,,,X,,,,,
Thomas Jefferson as Sec of State,"In addition to being the primary author of the Declaration of Independence, he had played a role as a key diplomat in France prior to his appointment. As a cabinet officer, he was consistently at odds with Hamilton, who ultimately won out over matters of both economics and foreign affairs. As such, Jefferson resigned, having been nearly kicked out of the cabinet by Washington. His greatest accomplishment was his role in getting the US capital moved southward. ",1790,3,X,,,X,,,,
Edmund Randolph as Att Gen,"He had served as Att Gen for VA prior to this appointment, spending much of his time trying to keep harmony between Jefferson and Hamilton. This office was relatively powerless during his time as it had no department. It was a part-time role with advising responsibilities. ",1789,3,X,,,,,X,,
Moves Edmund Randolph from Att Gen to Sec of State,"Washington moved the harmonious Randoph to replace the ideologically stubborn Jefferson, who had been at odds with Washington's policies. His responsibilities at State were mostly usurped by Hamilton, who handled most of the Jay Treaty without Randolph. Randolph had more of a role with the Pinckney Treaty. He was compelled to resign when his letter detailing anti-French sentiments in the Washington admin was leaked to France. He had also lost large sums of money from the State Dept during his tenure. ",1794,3,X,,,X,,,,
Moves Timothy Pickering as Sec of War to Sec of State,"Washington appointed the vocally pro-British New Englander after Randolph was compelled to resign. Pickering is alleged to have been a Hamilton crony, operating somewhat as proxy for Hamilton with Hamilton formally out of the cabinet. ",1795,3,X,,,X,,,,
Alexander Hamilton as Sec of Treasury,"While not Washington's first choice (he wanted Robert Morris), Hamilton created the American economic system, also called Hamiltonian Economics. This called for the assumption of state debts by the Federal Government, to incur a national debt to establish credit and to build responsibility/authority for the federal government over the states. With this was the idea of protective tariffs, infrastruture projects, a US Mint, a US Bank, naval protection of US shipping, tax revenue, and the conversion of an agrarian American into one of manufacturing and industry. His policies received harsh pushback from agrarian areas and split the nation into two major parties. Hamilton also generally controlled foreign policy, edging it to Pro-British at the expense of our French allies. He resigned in 1795 mostly to repair his personal finances. Some paint Hamilton as a kind of power behind the throne during the Washington admin, but Washington likely just had similar views, despite the president's non-ideological rhetoric.  ",1789,25,X,,,,X,,,
Oliver Wolcott promoted to Sec of Treasury,"Wolcott was promoted from Comptroller of the Treasury to Sec of Treasury after Hamilton resigned. He is often portrayed as a crony of Hamilton, having served under Hamilton and kept in frequent contact with him while Hamilton was out of the cabinet. He continued Hamilton's policies. ",1795,3,X,,,,X,,,
Henry Knox as Sec of War,"Knox had served as Senior General of the US army after Washington retired from the military, following that Knox served as Sec of War prior to the creation of the US Presidency. Washington merely decided to keep him in his office under the presidency. In this role, he presided over the sluggish Northwest Indian War, the Militia Act of 1792, and the push to create a US Navy and the push to expand into Native American lands by way of treaties. Knox was compelled to resign when he was accused of profiting from construction contracts for US navy frigates. ",1789,3,x,,,,,,x,
Timothy Pickering replaces Knox as Sec of War,"Unlike Knox, Pickering wasn't a combat general, having served as an adjutant general and quartermaster general. He served in the role of Sec of War for only a year before being moved to Sec of State. He isn't often considered a crony of Alexander Hamilton and known for his strong pro-British sympathies. ",1795,3,x,,,,,,x,
James McHenry replaces Pickering as Sec of War,"McHenry's military experience was limited to that of a military surgeon. Washington had reached out to several others who declined this office. Most of his time under Washington was involved in making sure the British abandoned the forts in the Northwest Territory.  Washington, Hamilton, and Wolcott often complained about McHenry not being fit for administrative duties. He may have been kept in office for a lack of other options and because he was a close ally of Hamilton. ",1796,3,x,,,,,x,,
William Bradford replaces Randolph as Att Gen,"Bradford had experience as a PA State Supreme Court Justice. He accomlished very little in his 8 months in office. For one, the role was a part-time, advisory office with no real power. Secondly, he died in office. He's the first US cabinet member to die in office. ",1794,3,,,,,,x,,
Charles Lee replaced Bradford as Att Gen,"Lee replaced Bradford after the latter's death. He was the brother of Light Horse Harry Lee, and thus the uncle of Robert E. Lee. He had suffiicent experience as he had both legal experience and legislative experience. The office was a part-time, advisory office at this time with no Justice Department. As such, he accomplished little. ",1795,3,,,,,,X,,
John Jay as Acting Sec of State,"John Jay served as the acting secretary for foreign affairs before the Washington presidency began. Jay declined Washington's offer to stay as permanent Sec of State. As Jefferson was still in France, and communication was slow, Jay held the title of Acting Sec of State for Washington for nearly a year. While Washington did not appoint him, he should get some credit/criticism (depending on your opinion) for retaining Jay until Jefferson could return from France. Despite being made Chief Justice of the Supreme Court, Jay kept the title of Acting Sec of State until Jefferson returned. Most of Jay's work at State involved seeking loans from foreign governments, securing fishing rights, and transitioning foreign relations from the old Congress system to the new Presidential system. ",1789,1,,,,X,,,,
Continued Northwest Indian War,"Opts to continue the Northwest Indian War, which had been raging against 10 British-backed Native tribes in what is now called the Midwest. When Washington took office efforts at a peaceful negotiation to end the violence and secure rights to land for Americans were unsuccessful. ",1789,25,,,,X,,,X,
Harmar Campaign,"Presides as the Northwestern Confederation throttles US forces in a series of battles during the Harmar Campaign in late 1790, devestating the new country. Harmar, who had been in command of the war since the beginning, is relieved as Senior General for Arthur St. Clair. ",1790,10,,,,,,,X,
Battle of Wabash,Presides as new Senior General Arthur St. Clair in 1791 suffers almost 80% casualties (60% killed) in the worst defeat ever of US troops by Native American forces.. Washington replaces St. Clair with Mad Anthony Wayne following this defeat. ,1791,10,,,,,,,X,
